"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"2","MarinVHF","MarinVHF K12|MarinVHF K13|MarinVHF K16|MarinVHF K23|MarinVHF K26|MarinVHF K69|MarinVHF K72|MarinVHF K73|MarinVHF K74|MarinVHF K77|MarinVHF L1|MarinVHF L2|Mil Skjutinfo","156.60000|156.65000|156.80000|161.75000|161.90000|156.47500|156.62500|156.67500|156.72500|156.87500|155.50000|155.52500|143.65000","156.60000|156.65000|156.80000|157.15000|157.30000|156.47500|156.62500|156.67500|156.72500|156.87500|155.50000|155.52500|143.65000","Off","Priority Channel Select1","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"3","SM0","Brandbergen|Brottby 1|Brottby 2|Dalaro|Haninge 1|Haninge 2|Haninge 3|Huddinge|Ingaro 1|Ingaro 2|Johanneshov|Farsta|Norrtalje|Nynashamn 1|Nynashamn 2|Nynashamn 3|Nynashamn 4|Nynashamn 5|Nynashamn 6|Sigtuna|Solna 1|Solna 2|Stockholm 1|Stockholm 2|Stockholm City|Stockholm Norr|Soder|Tullinge|Tyreso|Taby 1|Taby 2|Upplands Vasby 1|Upplands Vasby 2|Vallentuna 1|Varmdo|Vastberga 1|Vastberga 2|Almsta 1|Almsta 2","434.56250|145.65000|434.80000|434.83750|145.68750|434.75000|434.77500|434.60000|145.22500|145.77500|434.92500|145.57500|434.81250|145.71250|434.61250|434.65000|434.71250|145.73750|434.91250|434.88750|145.76250|434.85000|145.62500|145.72500|434.96250|145.78750|434.72500|145.66250|434.51250|434.70000|434.73750|434.67500|434.76250|434.86250|434.97500|145.60000|434.90000|145.73750|434.60000","432.56250|145.05000|432.80000|432.83750|145.08750|432.75000|432.77500|432.60000|145.22500|145.17500|432.92500|144.97500|432.81250|145.11250|432.61250|432.65000|432.71250|145.13750|432.91250|432.88750|145.16250|432.85000|145.02500|145.12500|432.96250|145.18750|432.72500|145.06250|432.51250|432.70000|432.73750|432.67500|432.76250|432.86250|432.97500|145.00000|432.90000|145.13750|432.60000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"4","SM1","Endre|Slite","145.77500|434.60000","145.17500|432.60000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"5","SM2","Arjeplog|Boden 1|Boden 2|Burtrask|Kalix 1|Kalix 2|Kalix 3|Kalix 4|Kiruna 1|Kiruna 2|Kiruna 3|Kristineberg|Lulea 1|Lulea 2|Pitea 1|Pitea 2|Pitea 3|Seskaro|Skelleftea 1|Skelleftea 2|Skelleftea 3|Sorsele|Storuman 1|Umea|Vindeln|Vannas 1|Vannas 2|Vannas 3|Alvsbyn","145.70000|145.62500|434.80000|434.95000|145.72500|434.72500|434.75000|434.98750|145.62500|434.51250|434.82500|145.67500|145.65000|434.90000|145.60000|434.60000|434.85000|145.67500|145.70000|145.58750|434.67500|145.60000|145.72500|145.65000|145.62500|145.72500|434.72500|434.97500|145.67500","145.10000|145.02500|432.80000|432.95000|145.12500|432.72500|432.75000|432.98750|145.02500|432.51250|432.82500|145.07500|145.05000|432.90000|145.00000|432.60000|432.85000|145.07500|145.10000|144.98750|432.67500|145.00000|145.12500|145.05000|145.02500|145.12500|432.72500|432.97500|145.07500","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"6","SM3","Bollnas 2|Borgsjo|Forsa 1|Forsa 2|Forsa 3|Follinge|Gavle 1|Gavle 2|Hoting|Hudiksvall 1|Hudiksvall 2|Harnosand|Kramfors|Krokom|Nordingra 1|Nordingra 2|Nyland 1|Nyland 2|Sandviken 1|Sandviken 3|Solleftea 1|Solleftea 2|Sundsvall 1|Sundsvall 3|Sundsvall 4|Svedja|Soderhamn 2|Soderhamn 4|Areskutan|Arsunda|Ornskoldsvik 1|Ornskoldsvik 2|Ornskoldsvik 3|Osterfarnebo|Ostersund 1|Ostersund 2|Ostersund 3|Ostersund 4","145.65000|145.70000|145.61250|145.67500|434.67500|434.52500|434.70000|434.87500|145.60000|145.71250|434.57500|434.72500|434.60000|434.97500|145.62500|434.85000|145.75000|434.95000|145.70000|434.82500|145.65000|434.92500|145.72500|434.80000|434.98750|145.60000|145.75000|434.75000|145.72500|434.65000|145.57500|145.77500|434.87500|434.65000|145.75000|145.78750|434.56250|434.75000","145.05000|145.10000|145.01250|145.07500|432.67500|432.52500|432.70000|432.87500|145.00000|145.11250|432.57500|432.72500|432.60000|434.97500|145.02500|432.85000|145.15000|433.35000|145.10000|432.82500|145.05000|432.92500|145.12500|432.80000|432.98750|145.00000|145.15000|433.15000|145.12500|436.25000|144.97500|145.17500|432.87500|432.65000|145.15000|145.17850|432.56250|432.75000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"7","SM4","Arvika 1|Arvika 2|Borlange 1|Borlange 2|Falun 1|Garphyttan|Grums|Grangesberg|Karlskoga 1|Ludvika 1|Ludvika 2|Nyhammar|Orsa 1|Orsa 2|Sunne 1|Sunne 2|Vansbro 1|Vansbro 2|Vansbro 3|Arjang|Orebro 1|Orebro 2|Smedjebacken|Eskilstuna 2|Eskilstuna 1|Arboga 2|Arboga 1|Torsby|Salen","434.77500|434.97500|434.80000|434.85000|145.62500|145.65000|434.72500|145.35000|145.75000|145.72500|434.72500|145.32500|145.75000|434.75000|145.77500|432.50000|145.65000|434.65000|434.66250|145.72500|145.71250|434.72500|434.63750|145.61250|145.58750|434.87500|145.67500|434.62500|145.60000","432.77500|432.97500|432.80000|432.85000|145.25000|145.05000|432.72500|145.35000|145.15000|145.12500|433.12500|145.32500|145.15000|433.15000|145.17500|432.50000|145.05000|433.05000|432.66250|145.12500|145.11250|432.72500|432.63750|145.01250|144.98750|432.87500|145.07500|432.62500|145.00000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"8","SM5","Arboga 1|Arboga 2|Eskilstuna 1|Eskilstuna 2|Eskilstuna 3|Eskilstuna 4|Finspang 1|Finspang 2|Flen 1|Flen 2|Flen 3|Kisa|Knivsta|Linkoping 1|Linkoping 2|Linkoping 3|Linkoping 4|Linkoping 5|Linkoping 6|Linkoping 7|Motala|Norrkoping 1|Norrkoping 2|Norrkoping 3|Norrkoping 4|Norrkoping 5|Nykoping|Sala|Trosa|Uppsala 1|Uppsala 2|Uppsala 3|Uppsala 4|Uppsala 5|Uppsala 6|Vasteras 1|Vasteras 2|Atvidaberg","145.67500|434.87500|145.58750|145.61250|434.85000|434.97500|434.92500|434.81250|145.63750|145.76250|434.75000|145.70000|434.52500|145.62500|145.72500|145.78750|434.51250|434.80000|434.82500|434.87500|145.73750|145.23750|145.60000|434.60000|434.95000|434.66250|434.63750|145.71250|434.88750|145.58750|145.75000|434.51250|434.58750|434.63750|433.45000|145.77500|434.77500|145.66250","145.07500|432.87500|144.98750|145.01250|432.85000|432.97500|432.92500|432.81250|145.03750|145.16250|432.75000|145.10000|432.52500|145.02500|145.12500|145.18750|432.51250|432.80000|432.82500|432.87500|145.18750|145.23750|145.00000|432.60000|432.95000|432.66250|432.63750|145.11250|432.88750|144.98750|145.15000|432.51250|432.58750|432.63750|433.45000|145.17500|432.77500|145.06250","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"9","SM6 Gbg","Angered|Floda|Goteborg 1|Goteborg 2|Goteborg 3|Goteborg 4|Goteborg 5|Goteborg 6|Hono|Kortedala 1|Kortedala 2|Kungsbacka 1|Kungsbacka 2|Kungsbacka 3|Kungalv 1|Kungalv 2|Kungalv 3|Lunden|Molndal 1|Molndal 2|Ytterby|Ockero 1|Ockero 2","434.92500|434.82500|144.67500|145.65000|434.65000|434.67500|434.78750|434.97500|144.62500|144.60000|145.58750|144.65000|145.72500|434.72500|145.61250|434.73750|434.90000|145.78750|145.70000|434.70000|145.78750|145.75000|434.85000","432.92500|432.82500|144.67500|145.05000|432.65000|432.67500|432.78750|432.97500|144.62500|144.60000|144.98750|144.65000|145.12500|432.72500|145.01250|432.73750|432.90000|145.18750|145.10000|432.70000|145.18750|145.15000|432.85000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"10","SM6 Ovriga","Bengtsfors 1|Bengtsfors 2|Bokenas|Boras 1|Boras 2|Boras 3|Dingle|Falkenberg|Halmstad 1|Halmstad 2|Halmstad 3|Kinnekulle 1|Kinnekulle 2|Lysekil|Mariestad|Myggenas|Skene 1|Skovde 2|Stenungsund 1|Tanumshede|Tidaholm|Trollhattan 1|Trollhattan 2|Trollhattan 3|Uddevalla 1|Uddevalla 2|Ulricehamn 1|Ulricehamn 2|Varberg 1|Varberg 2|Ytterby|Amal","145.70000|434.68750|145.60000|145.77500|434.55000|434.80000|434.88750|145.62500|145.67500|434.75000|434.92500|145.60000|434.95000|434.80000|434.90000|144.66250|145.60000|434.82500|145.71250|145.57500|145.63750|145.76250|434.72500|434.87500|145.73750|434.77500|145.67500|434.67500|145.70000|434.70000|145.78750|434.60000","145.10000|432.68750|145.00000|145.17500|432.55000|432.80000|432.88750|145.02500|145.07500|432.75000|432.92500|145.00000|432.95000|432.80000|432.90000|144.66250|145.00000|432.82500|145.11250|144.97500|145.03750|145.16250|432.72500|432.87500|145.13750|432.77500|145.07500|432.67500|145.10000|433.10000|145.18750|432.60000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"11","SM7 Skane","Bjarnum|Blentarp 1|Blentarp 2|Eslov 1|Eslov 2|Gladsax 1|Gladsax 2|Hallandsas|Helsingborg 1|Helsingborg 2|Helsingborg 3|Hassleholm|Hoor|Kristianstad 1|Kristianstad 2|Lund 1|Lund 2|Lund 3|Lonsboda|Malmo 1|Malmo 2|Sjobo|Tomelilla|Vitaby|Orkelljunga","434.95000|145.67500|434.85000|434.70000|434.81250|145.57500|434.88750|145.78750|145.65000|434.60000|434.65000|145.76250|434.91250|145.73750|434.52500|145.77500|434.58750|434.72500|434.90000|434.61250|434.77500|434.92500|434.63750|145.61250|434.97500","432.95000|145.07500|432.85000|432.70000|432.81250|144.97500|432.88750|145.18750|145.05000|432.60000|432.65000|145.16250|432.91250|145.13750|432.52500|145.17500|432.58750|432.72500|433.30000|432.61250|432.77500|432.92500|432.63750|145.01250|432.97500","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"12","SM7 Ovriga","Algutsrum 1|Algutsrum 2|Algutsrum 3|Aneby 1|Aneby 2|Aneby 3|Borgholm 1|Borgholm 2|Bruzaholm|Boda|Ekenassjon 1|Ekenassjon 2|Eksjo|Emmaboda 1|Emmaboda 2|Hultsfred|Huskvarna|Jonkoping 1|Jonkoping 2|Karlskrona 1|Karlskrona 2|Linderod|Ljungby|Morbylanga|Nybro|Nassjo 1|Nassjo 2|Nassjo 3|Nassjo 4|Oskarshamn 1|Oskarshamn 2|Spjutsbygd|Svangsta|Savsjo|Sodra Vi|Solvesborg|Vetlanda 1|Vetlanda 2|Varnamo 1|Varnamo 2|Vastervik 1|Vastervik 2|Vaxjo 1|Vaxjo 2","145.60000|434.55000|434.60000|145.77500|434.72500|434.92500|145.66250|434.77500|434.60000|145.75000|144.85000|145.71250|434.56250|145.77500|434.78750|145.76250|434.75000|145.75000|434.97500|145.75000|434.75000|145.58750|145.72500|145.62500|145.68750|145.58750|145.65000|434.85000|434.90000|145.72500|434.72500|145.72500|434.92500|434.52500|434.66250|434.40000|145.62500|434.62500|145.60000|434.60000|145.67500|434.67500|145.67500|434.70000","145.00000|432.55000|432.60000|145.17500|432.72500|432.92500|145.06250|432.77500|432.60000|145.15000|144.85000|145.11250|432.56250|145.17500|432.78750|145.06250|432.75000|145.15000|432.97500|145.15000|432.75000|144.98750|145.12500|145.02500|145.08750|144.98750|145.05000|432.85000|432.90000|145.12500|432.72500|145.12500|432.92500|432.52500|432.66250|434.40000|145.02500|432.62500|145.00000|432.00000|145.07500|432.07500|145.07500|432.70000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"13","Jakt","Jakt K1 155.425|Jakt K2 155.475|Jakt K3 155.500|Jakt K4 155.525|Jakt K5 156.000|Jakt K6 155.400|Jakt K7 155.450","155.42500|155.47500|155.50000|155.52500|156.00000|155.40000|155.45000","155.24500|155.47500|155.50000|155.52500|156.00000|155.40000|155.45000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"14","KDR(SRBR)","KDR K1 444.600|KDR K2 444.650|KDR K3 444.800|KDR K4 444.825|KDR K5 444.850|KDR K6 444.875|KDR K7 444.925|KDR K8 444.975","444.60000|444.65000|444.80000|444.82500|444.85000|444.87500|444.92500|444.97500","444.60000|444.65000|444.80000|444.82500|444.85000|444.87500|444.92500|444.97500","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"15","PMR446","PMR K1|PMR K2|PMR K3|PMR K4|PMR K5|PMR K6|PMR K7|PMR K8","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
