"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"1","Favoriter","SA0AZS-1|ATV Talkback|Sandhamn X-link|Solna 1 SM0OFV/R|Solna 2 SK0ZA/R|APRS VA|APRS Mute|APRS Open","SA0AZS-1","SA0AZS-1"
"2","Lokala anrop","Anrop 2m|Anrop 70 cm|D-anrop 2 m|D-anrop 70 cm|ATV Talkback","Anrop 2m","Anrop 70 cm"
"3","SM0","Arlanda|Botkyrka 1|Botkyrka 2|Brottby 1|Brottby 2|Dalaro|Djuro|Haninge 1|Haninge 2|Haninge 3|Haninge 4|Kista 1|Kista 2|Kista 3|Kista 4|Kista 5|Kista 6|Morko|Norrtalje 1|Norrtalje 2|Nynashamn 1|Nynashamn 2|Rimbo|Sigtuna|Soder|Soderort|Sodertalje 1|Sodertalje 2|Sodertorn|Solna 1 SM0OFV/R|Solna 2 SK0ZA/R|Stockholm 1|Stockholm 2|Stockholm Norr|Taby 1|Taby 2|Tullinge|Tyreso|Upplands Vasby 1|Upplands Vasby 2|Vallentuna|Varmdo|Vastberga 1|Vastberga 2","Arlanda","Arlanda"
"4","SM1","Slite","Slite","Slite"
"5","SM2","Alvsbyn|Arjeplog|Jorn|Kalix 1|Kalix 2|Kalix 3|Kiruna 1|Kiruna 2|Kiruna 3|Kristineberg|Lulea 1|Lulea 2|Lycksele 1|Lycksele 2|Nordmaling|Pitea 1|Pitea 2|Seskaro|Skelleftea|Sorsele|Storuman 1|Storuman 2|Tarnaby|Umea 1|Umea 2|Vindeln|Vannas 1|Vannas 2","Alvsbyn","Alvsbyn"
"6","SM3","Bollnas 1|Bollnas 2|Bollnas 3|Borgsjo|Forsa 1|Forsa 2|Follinge|Gavle 1|Gavle 2|Gavle 3|Hoting|Hudiksvall 1|Hudiksvall 2|Hudiksvall 3|Harnosand|Kramfors|Ljusdal|Nordingra 1|Nordingra 2|Nyland 1|Nyland 2|Sandviken 1|Sandviken 2|Solleftea 1|Solleftea 2|Sundsvall 1|Sundsvall 2|Sundsvall 3|Soderhamn 1|Soderhamn 2|Soderhamn 3|Soderhamn 4|Utanede|Vemdalen|Are|Arsunda|Ornskoldsvik 1|Ornskoldsvik 2|Ornskoldsvik 3|Ostersund","Bollnas 1","Bollnas 1"
"7","SM4","Arvika|Borlange|Falun|Filipstad|Garphyttan|Grums|Hagfors|Karlstad|Kopparberg|Leksand|Lindesberg|Ludvika 1|Ludvika 2|Mora 1|Mora 2|Mora 3|Orsa 1|Orsa 2|Sunne 1|Sunne 2|Torsby|Vansbro 1|Vansbro 2|Vansbro 3|Arjang|Orebro","Arvika","Arvika"
"8","SM5","Arboga 1|Arboga 2|Eskilstuna 1|Eskilstuna 2|Eskilstuna 3|Finspang|Flen 1|Flen 2|Katrineholm|Kisa|Knivsta|Linkoping 1|Linkoping 2|Linkoping 3|Linkoping 4|Linkoping 5|Linkoping 6|Linkoping 7|Ljungsbro|Norrkoping 1|Norrkoping 2|Norrkoping 3|Sala|Trosa|Uppsala 1|Uppsala 2|Uppsala 3|Vingaker|Vasteras 1|Vasteras 2","Arboga 1","Arboga 1"
"9","SM6","Alingsas 1|Alingsas 2|Alingsas 3|Angered 1|Angered 2|Boras 1|Boras 2|Falkenberg|Floda|Goteborg 1|Goteborg 2|Goteborg 3|Goteborg 4|Halmstad 1|Halmstad 2|Kinnekulle 1|Kinnekulle 2|Kortedala|Kungsbacka 1|Kungsbacka 2|Kungshamn|Kungalv 1|Kungalv 2|Kungalv 3|Lidkoping 1|Lunden|Lysekil 1|Lysekil 2|Mariestad|Molndal 1|Molndal 2|Skara|Skene 1|Skene 2|Stenungsund 1|Stenungsund 2|Stromstad|Tanumshede|Tidaholm|Uddevalla|Ulricehamn 1|Ulricehamn 2|Varberg 1|Varberg 2|Vargarda|Alvangen|Amal|Ockero","Alingsas 1","Alingsas 1"
"10","SM7","Algutsrum 1|Algutsrum 2|Aneby 1|Aneby 2|Bjarnum|Blentarp|Borgholm|Bruzaholm|Boda|Eksjo|Emmaboda|Eslov 1|Eslov 2|Gladsax|Gnosjo|Helsingborg 1|Helsingborg 2|Helsingborg 3|Hultsfred|Huskvarna|Hassleholm 1|Hassleholm 2|Jonkoping 1|Jonkoping 2|Karlskrona 1|Karlskrona 2|Kristianstad|Ljungby|Lund 1|Lund 2|Lund 3|Lyby|Lonnsboda|Malmo 1|Malmo 2|Morbylanga|Morrum|Nybro|Nassjo 1|Nassjo 2|Nassjo 3|Nassjo 4|Oskarshamn 1|Oskarshamn 2|Simrishamn|Svangsta|Vetlanda 1|Vetlanda 2|Vitaby|Varnamo|Vaxjo|Ystad|Orkelljunga","Algutsrum 1","Algutsrum 1"
"11","X-band linkar","SK0MM X-link|Sandhamn X-link|KopparmoraX-link|GustavsbergX-lin|SK0MT X-link","Sandhamn X-link","Sandhamn X-link"
"12","Digital Simplex","U290-TS1|U290-TS2|U291-TS1|U291-TS2|U292-TS1|U292-TS2|U293-TS1|U293-TS2|U294-TS1|U294-TS2|U295-TS1|U295-TS2|V17-TS1|V17-TS2|V18-TS1|V18-TS2|V20-TS1|V20-TS2|V21-TS1|V21-TS2|V22-TS1|V22-TS2|V25-TS1|V25-TS2","U290-TS1","U290-TS1"
"13","Analog Simplex","U290|U290 PL 123.0|U291|U291 PL 123.0|U292|U292 PL 123.0|U293|U293 PL 123.0|U294|U294 PL 123.0|U295|U295 PL 123.0|V17|V17 PL 123.0|V18|V18 PL 123.0|V20|V20 PL 123.0|V21|V21 PL 123.0|V22|V22 PL 123.0|V25|V25 PL 123.0","U290","U290"
"20","Jakt 155 MHz","Jakt K1 155.425|Jakt K2 155.475|Jakt K3 155.500|Jakt K4 155.525|Jakt K5 156.000|Jakt K6 155.400|Jakt K7 155.450","Jakt K1 155.425","Jakt K1 155.425"
"21","KDR 444 MHz","KDR K1 444.600|KDR K2 444.650|KDR K3 444.800|KDR K4 444.825|KDR K5 444.850|KDR K6 444.875|KDR K7 444.925|KDR K8 444.975","KDR K1 444.600","KDR K1 444.600"
"22","PMR 446 MHz","PMR K1|PMR K2|PMR K3|PMR K4|PMR K5|PMR K6|PMR K7|PMR K8","PMR K1","PMR K1"
"23","Marin-VHF","MarinVHF K01|MarinVHF K02|MarinVHF K03|MarinVHF K04|MarinVHF K05|MarinVHF K06|MarinVHF K07|MarinVHF K08|MarinVHF K09|MarinVHF K10|MarinVHF K11|MarinVHF K12|MarinVHF K13|MarinVHF K14|MarinVHF K15|MarinVHF K16|MarinVHF K17|MarinVHF K18|MarinVHF K19|MarinVHF K20|MarinVHF K21|MarinVHF K22|MarinVHF K23|MarinVHF K24|MarinVHF K25|MarinVHF K26|MarinVHF K27|MarinVHF K28|MarinVHF K60|MarinVHF K61|MarinVHF K62|MarinVHF K63|MarinVHF K64|MarinVHF K65|MarinVHF K66|MarinVHF K67|MarinVHF K68|MarinVHF K69|MarinVHF K70|MarinVHF K71|MarinVHF K72|MarinVHF K73|MarinVHF K74|MarinVHF K75|MarinVHF K76|MarinVHF K77|MarinVHF K78|MarinVHF K79|MarinVHF K80|MarinVHF K81|MarinVHF K82|MarinVHF K83|MarinVHF K84|MarinVHF K85|MarinVHF K86|MarinVHF K87|MarinVHF K88|MarinVHF L1|MarinVHF L2|MarinVHF L3|MarinVHF F1|MarinVHF F2|MarinVHF F3","MarinVHF K16","MarinVHF K16"
